tick_id,ts,A,R,C,p_hat,n_proposed,n_approved,clamp_reasons,utilization,abandonment_rate
119,118.0,11,17,34,0.2832,32,1,binomial_safety_bound,0.68,0.0
120,119.0,13,18,34,0.2832,36,3,binomial_safety_bound,0.68,0.0
121,120.0,14,21,33,0.2832,41,2,binomial_safety_bound,0.66,0.0
122,121.0,14,22,33,0.1982,59,5,binomial_safety_bound,0.66,0.0
123,122.0,15,26,33,0.1388,90,7,binomial_safety_bound,0.66,0.0
124,123.0,15,30,34,0.1946,63,0,binomial_safety_bound,0.68,0.0
125,124.0,14,24,35,0.0949,123,11,binomial_safety_bound,0.7,0.0
126,125.0,15,32,35,0.0326,248,15,binomial_safety_bound,0.7,0.0
127,126.0,15,47,34,0.0326,247,0,binomial_safety_bound,0.68,0.0
128,127.0,15,47,33,0.0326,246,0,binomial_safety_bound,0.66,0.0
129,128.0,15,46,33,0.0228,246,2,binomial_safety_bound,0.66,0.0
130,129.0,15,45,31,0.0078,244,6,binomial_safety_bound,0.62,0.0
131,130.0,15,47,31,0.0019,244,5,binomial_safety_bound,0.62,0.0
132,131.0,16,49,30,0.0006,257,7,binomial_safety_bound,0.6,0.0
133,132.0,17,55,30,0.0005,271,5,binomial_safety_bound,0.6,0.0
134,133.0,13,47,34,0.2263,48,0,binomial_safety_bound,0.68,0.0
135,134.0,15,41,32,0.0266,244,6,binomial_safety_bound,0.64,0.0
136,135.0,11,36,36,0.33,29,0,binomial_safety_bound,0.72,0.0
137,136.0,12,30,36,0.0388,208,6,binomial_safety_bound,0.72,0.0
138,137.0,12,36,36,0.0388,208,0,binomial_safety_bound,0.72,0.0
139,138.0,11,31,36,0.3065,30,0,binomial_safety_bound,0.72,0.0
140,139.0,10,26,39,0.3734,24,0,binomial_safety_bound,0.78,0.0
141,140.0,10,25,39,0.2614,34,0,binomial_safety_bound,0.78,0.0
142,141.0,10,21,39,0.0628,145,7,binomial_safety_bound,0.78,0.0
143,142.0,10,22,39,0.0074,182,13,binomial_safety_bound,0.78,0.0
144,143.0,10,31,40,0.1047,88,0,binomial_safety_bound,0.8,0.0
145,144.0,10,24,40,0.0086,184,11,binomial_safety_bound,0.8,0.0
146,145.0,10,34,38,0.006,182,1,binomial_safety_bound,0.76,0.0
147,146.0,10,34,38,0.0042,182,2,binomial_safety_bound,0.76,0.0
148,147.0,10,34,38,0.0021,182,2,binomial_safety_bound,0.76,0.0
149,148.0,10,36,37,0.0021,181,0,binomial_safety_bound,0.74,0.0
150,149.0,9,33,34,0.1477,54,0,binomial_safety_bound,0.68,0.0
151,150.0,11,30,34,0.0507,199,1,binomial_safety_bound,0.68,0.0
152,151.0,9,23,35,0.4058,21,0,binomial_safety_bound,0.7,0.0
153,152.0,9,18,35,0.0682,125,5,binomial_safety_bound,0.7,0.0
154,153.0,10,20,34,0.0234,184,11,binomial_safety_bound,0.68,0.0
155,154.0,14,27,33,0.0056,243,20,binomial_safety_bound,0.66,0.0
156,155.0,11,43,36,0.6583,15,0,binomial_safety_bound,0.72,0.0
157,156.0,11,39,37,0.3681,28,0,binomial_safety_bound,0.74,0.0
158,157.0,10,37,38,0.3904,25,0,binomial_safety_bound,0.76,0.0
159,158.0,11,35,38,0.1913,56,0,binomial_safety_bound,0.76,0.0
160,159.0,12,35,38,0.1913,59,0,binomial_safety_bound,0.76,0.0
161,160.0,12,32,38,0.0656,174,2,binomial_safety_bound,0.76,0.0
162,161.0,11,27,38,0.3054,34,0,binomial_safety_bound,0.76,0.0
163,162.0,8,18,40,0.398,20,0,binomial_safety_bound,0.8,0.0
164,163.0,8,7,39,0.0079,160,20,binomial_safety_bound,0.78,0.0
165,164.0,7,23,40,0.1489,49,0,binomial_safety_bound,0.8,0.0
166,165.0,7,23,39,0.1489,49,0,binomial_safety_bound,0.78,0.0
167,166.0,8,22,38,0.1042,77,0,binomial_safety_bound,0.76,0.0
168,167.0,9,22,38,0.1042,84,0,binomial_safety_bound,0.76,0.0
169,168.0,10,22,37,0.1042,91,2,binomial_safety_bound,0.74,0.0
170,169.0,9,23,38,0.373,23,0,binomial_safety_bound,0.76,0.0
171,170.0,8,19,40,0.5995,13,0,binomial_safety_bound,0.8,0.0
172,171.0,9,16,40,0.2056,42,0,binomial_safety_bound,0.8,0.0
173,172.0,8,9,40,0.2269,35,5,binomial_safety_bound,0.8,0.0
174,173.0,9,10,40,0.0545,160,15,binomial_safety_bound,0.8,0.0
175,174.0,9,22,39,0.0187,173,7,binomial_safety_bound,0.78,0.0
176,175.0,8,28,40,0.3131,26,0,binomial_safety_bound,0.8,0.0
177,176.0,8,28,40,0.3131,26,0,binomial_safety_bound,0.8,0.0
178,177.0,9,28,40,0.3131,28,0,binomial_safety_bound,0.8,0.0
179,178.0,9,28,40,0.3131,28,0,binomial_safety_bound,0.8,0.0
180,179.0,10,27,40,0.2192,44,0,binomial_safety_bound,0.8,0.0
181,180.0,9,21,41,0.1728,54,0,binomial_safety_bound,0.82,0.0
182,181.0,9,14,41,0.0142,189,16,binomial_safety_bound,0.82,0.0
183,182.0,9,23,41,0.0012,189,9,binomial_safety_bound,0.82,0.0
184,183.0,9,30,40,0.0006,188,2,binomial_safety_bound,0.8,0.0
185,184.0,9,28,40,0.0001,188,4,binomial_safety_bound,0.8,0.0
186,185.0,9,32,39,0.0001,187,0,binomial_safety_bound,0.78,0.0
187,186.0,9,31,39,0.0001,187,1,binomial_safety_bound,0.78,0.0
188,187.0,7,29,41,0.51,14,0,binomial_safety_bound,0.82,0.0
189,188.0,5,26,41,0.8319,6,0,binomial_safety_bound,0.82,0.0
190,189.0,3,22,43,0.6026,7,0,binomial_safety_bound,0.86,0.0
191,190.0,0,16,47,0.7433,1,0,binomial_safety_bound,0.94,0.01
192,191.0,0,11,47,0.5539,1,0,binomial_safety_bound;abandonment_cooldown_3pct,0.94,0.04
193,192.0,0,7,45,0.6829,0,0,abandonment_cooldown_3pct,0.9,0.07
194,193.0,0,3,48,0.9239,0,0,abandonment_cooldown_3pct,0.96,0.08
195,194.0,0,2,47,0.6467,1,0,binomial_safety_bound;abandonment_cooldown_3pct,0.94,0.08
196,195.0,0,2,47,0.6467,1,0,binomial_safety_bound;abandonment_cooldown_3pct,0.94,0.08
197,196.0,0,0,47,0.6169,1,0,abandonment_cooldown_3pct,0.94,0.09
198,197.0,2,0,46,0.6169,1,1,abandonment_cooldown_3pct,0.92,0.09
199,198.0,2,1,45,0.6169,1,1,abandonment_cooldown_3pct,0.9,0.09
200,199.0,3,2,44,0.6169,2,2,abandonment_cooldown_3pct,0.88,0.09
201,200.0,3,4,44,0.6169,2,1,binomial_safety_bound;abandonment_cooldown_3pct,0.88,0.09
202,201.0,3,5,42,0.6169,1,0,binomial_safety_bound;abandonment_cooldown_3pct,0.84,0.09
203,202.0,4,5,42,0.6169,2,1,binomial_safety_bound;abandonment_cooldown_3pct,0.84,0.09
204,203.0,5,6,40,0.6169,2,0,binomial_safety_bound;abandonment_cooldown_3pct,0.8,0.09
205,204.0,6,6,40,0.6169,2,1,binomial_safety_bound;abandonment_cooldown_3pct,0.8,0.09
206,205.0,6,7,40,0.6169,2,0,binomial_safety_bound;abandonment_cooldown_3pct,0.8,0.09
207,206.0,8,7,39,0.6169,3,2,binomial_safety_bound;abandonment_cooldown_3pct,0.78,0.09
208,207.0,6,7,41,0.8123,2,1,binomial_safety_bound;abandonment_cooldown_3pct,0.82,0.09
209,208.0,6,6,43,0.908,1,1,abandonment_cooldown_3pct,0.86,0.09
210,209.0,6,6,42,0.6356,2,1,binomial_safety_bound;abandonment_cooldown_3pct,0.84,0.09
211,210.0,6,7,41,0.6356,2,0,binomial_safety_bound;abandonment_cooldown_3pct,0.82,0.09
212,211.0,6,6,40,0.7449,2,1,binomial_safety_bound;abandonment_cooldown_3pct,0.8,0.09
213,212.0,5,6,41,0.8214,1,1,abandonment_cooldown_3pct,0.82,0.09
214,213.0,5,7,41,0.8214,1,0,binomial_safety_bound;abandonment_cooldown_3pct,0.82,0.09
215,214.0,6,7,40,0.8214,2,1,binomial_safety_bound;abandonment_cooldown_3pct,0.8,0.09
216,215.0,6,7,41,0.875,1,0,binomial_safety_bound;abandonment_cooldown_3pct,0.82,0.09
217,216.0,6,5,43,0.9388,1,1,abandonment_cooldown_3pct,0.86,0.09
218,217.0,4,4,44,0.97,1,1,abandonment_cooldown_3pct,0.88,0.09
219,218.0,4,5,44,0.97,1,1,abandonment_cooldown_3pct,0.88,0.09
220,219.0,4,5,45,0.979,1,1,abandonment_cooldown_3pct,0.9,0.09
221,220.0,4,6,44,0.979,1,0,binomial_safety_bound;abandonment_cooldown_3pct,0.88,0.09
222,221.0,3,5,44,0.9853,1,0,binomial_safety_bound;abandonment_cooldown_3pct,0.88,0.09
223,222.0,4,5,43,0.9853,1,1,abandonment_cooldown_3pct,0.86,0.09
224,223.0,4,6,42,0.9853,1,0,binomial_safety_bound;abandonment_cooldown_3pct,0.84,0.09
225,224.0,2,4,44,0.9928,1,0,binomial_safety_bound;abandonment_cooldown_3pct,0.88,0.09
226,225.0,2,3,45,0.995,1,1,abandonment_cooldown_3pct,0.9,0.09
227,226.0,3,4,44,0.995,1,1,abandonment_cooldown_3pct,0.88,0.09
228,227.0,3,4,45,0.9965,1,1,abandonment_cooldown_3pct,0.9,0.09
229,228.0,3,4,46,0.9975,1,1,abandonment_cooldown_3pct,0.92,0.09
230,229.0,3,5,46,0.9975,1,0,binomial_safety_bound;abandonment_cooldown_3pct,0.92,0.09
231,230.0,2,4,47,0.9983,1,0,binomial_safety_bound;abandonment_cooldown_3pct,0.94,0.09
232,231.0,3,4,47,0.9983,1,1,abandonment_cooldown_3pct,0.94,0.09
233,232.0,3,5,45,0.9983,1,0,binomial_safety_bound;abandonment_cooldown_3pct,0.9,0.09
234,233.0,3,5,45,0.9983,1,0,binomial_safety_bound;abandonment_cooldown_3pct,0.9,0.09
235,234.0,2,3,46,0.6992,1,1,abandonment_cooldown_3pct,0.92,0.09
236,235.0,1,3,46,0.7894,1,0,binomial_safety_bound;abandonment_cooldown_3pct,0.92,0.09
237,236.0,0,2,47,0.8526,0,0,abandonment_cooldown_3pct,0.94,0.09
238,237.0,2,2,46,0.8526,1,1,abandonment_cooldown_3pct,0.92,0.09
239,238.0,2,3,46,0.8526,1,1,abandonment_cooldown_3pct,0.92,0.09
240,239.0,2,4,46,0.8526,1,0,binomial_safety_bound;abandonment_cooldown_3pct,0.92,0.09
241,240.0,3,4,45,0.8526,1,1,abandonment_cooldown_3pct,0.9,0.09
242,241.0,2,4,46,0.8968,1,0,binomial_safety_bound;abandonment_cooldown_3pct,0.92,0.09
243,242.0,3,4,45,0.8968,1,1,abandonment_cooldown_3pct,0.9,0.09
244,243.0,2,4,46,0.9278,1,0,binomial_safety_bound;abandonment_cooldown_3pct,0.92,0.09
245,244.0,1,3,46,0.9494,1,0,binomial_safety_bound;abandonment_cooldown_3pct,0.92,0.09
246,245.0,2,2,46,0.6646,1,1,abandonment_cooldown_3pct,0.92,0.09
247,246.0,2,3,45,0.6646,1,0,binomial_safety_bound;abandonment_cooldown_3pct,0.9,0.09
248,247.0,3,3,44,0.6646,2,1,binomial_safety_bound;abandonment_cooldown_3pct,0.88,0.09
249,248.0,3,4,44,0.6646,2,0,binomial_safety_bound;abandonment_cooldown_3pct,0.88,0.09
250,249.0,4,4,44,0.6646,2,1,binomial_safety_bound;abandonment_cooldown_3pct,0.88,0.09
251,250.0,3,4,44,0.7652,2,1,binomial_safety_bound;abandonment_cooldown_3pct,0.88,0.09
252,251.0,4,5,43,0.7652,2,1,binomial_safety_bound;abandonment_cooldown_3pct,0.86,0.09
253,252.0,5,5,43,0.5357,3,2,binomial_safety_bound;abandonment_cooldown_3pct,0.86,0.09
254,253.0,5,7,43,0.5357,3,0,binomial_safety_bound;abandonment_cooldown_3pct,0.86,0.09
255,254.0,4,6,43,0.675,2,0,binomial_safety_bound;abandonment_cooldown_3pct,0.86,0.09
256,255.0,4,5,43,0.7725,2,1,binomial_safety_bound;abandonment_cooldown_3pct,0.86,0.09
257,256.0,5,6,42,0.7725,2,1,binomial_safety_bound;abandonment_cooldown_3pct,0.84,0.09
258,257.0,5,7,42,0.7725,2,0,binomial_safety_bound;abandonment_cooldown_3pct,0.84,0.09
259,258.0,3,5,44,0.8885,1,0,binomial_safety_bound;abandonment_cooldown_3pct,0.88,0.09
260,259.0,4,4,44,0.622,2,1,binomial_safety_bound;abandonment_cooldown_3pct,0.88,0.09
261,260.0,5,5,44,0.622,3,1,binomial_safety_bound;abandonment_cooldown_3pct,0.88,0.09
262,261.0,6,5,44,0.4354,5,3,binomial_safety_bound;abandonment_cooldown_3pct,0.88,0.09
263,262.0,6,7,43,0.3048,7,3,binomial_safety_bound;abandonment_cooldown_3pct,0.86,0.09
264,263.0,6,10,43,0.3048,7,0,binomial_safety_bound;abandonment_cooldown_3pct,0.86,0.09
265,264.0,5,9,44,0.5133,3,0,binomial_safety_bound;abandonment_cooldown_3pct,0.88,0.09
266,265.0,4,8,45,0.6593,2,0,binomial_safety_bound;abandonment_cooldown_3pct,0.9,0.09
267,266.0,4,8,45,0.6593,2,0,binomial_safety_bound;abandonment_cooldown_3pct,0.9,0.09
268,267.0,4,6,46,0.6231,2,0,binomial_safety_bound;abandonment_cooldown_3pct,0.92,0.09
269,268.0,4,6,46,0.6231,2,0,binomial_safety_bound;abandonment_cooldown_3pct,0.92,0.09
270,269.0,0,1,49,0.8646,0,0,abandonment_cooldown_3pct,0.98,0.09
271,270.0,0,1,49,0.8646,0,0,abandonment_cooldown_3pct,0.98,0.09
272,271.0,0,1,48,0.8646,0,0,abandonment_cooldown_3pct,0.96,0.09
273,272.0,0,0,48,0.9052,0,0,abandonment_cooldown_3pct,0.96,0.1
274,273.0,0,0,48,0.9052,0,0,abandonment_cooldown_3pct,0.96,0.1
275,274.0,1,0,48,0.9052,0,0,abandonment_cooldown_3pct,0.96,0.1
276,275.0,1,0,47,0.9052,0,0,abandonment_cooldown_3pct,0.94,0.1
277,276.0,2,0,47,0.9052,1,1,abandonment_cooldown_3pct,0.94,0.1
278,277.0,2,1,46,0.9052,1,1,abandonment_cooldown_3pct,0.92,0.1
279,278.0,2,2,46,0.9052,1,1,abandonment_cooldown_3pct,0.92,0.1
280,279.0,2,3,44,0.9052,1,1,abandonment_cooldown_3pct,0.88,0.1
281,280.0,3,4,44,0.9052,1,1,abandonment_cooldown_3pct,0.88,0.1
282,281.0,3,5,44,0.9052,1,0,binomial_safety_bound;abandonment_cooldown_3pct,0.88,0.1
283,282.0,3,4,45,0.9337,1,1,abandonment_cooldown_3pct,0.9,0.1
284,283.0,3,5,43,0.9337,1,0,binomial_safety_bound;abandonment_cooldown_3pct,0.86,0.1
285,284.0,5,5,42,0.9337,1,1,abandonment_cooldown_3pct,0.84,0.1
286,285.0,5,6,42,0.9337,1,0,binomial_safety_bound;abandonment_cooldown_3pct,0.84,0.1
287,286.0,5,5,42,0.6536,2,1,binomial_safety_bound;abandonment_cooldown_3pct,0.84,0.1
288,287.0,3,3,43,0.7342,1,1,abandonment_cooldown_3pct,0.86,0.1
289,288.0,5,4,42,0.7342,2,2,abandonment_cooldown_3pct,0.84,0.1
290,289.0,6,6,41,0.7342,2,1,binomial_safety_bound;abandonment_cooldown_3pct,0.82,0.1
291,290.0,6,7,40,0.7342,2,0,binomial_safety_bound;abandonment_cooldown_3pct,0.8,0.1
292,291.0,6,7,40,0.7342,2,0,binomial_safety_bound;abandonment_cooldown_3pct,0.8,0.1
293,292.0,6,6,41,0.8139,2,1,binomial_safety_bound;abandonment_cooldown_3pct,0.82,0.1
294,293.0,5,5,43,0.9088,1,1,abandonment_cooldown_3pct,0.86,0.1
295,294.0,4,4,45,0.9553,1,1,abandonment_cooldown_3pct,0.9,0.1
296,295.0,4,4,46,0.9687,1,1,abandonment_cooldown_3pct,0.92,0.1
297,296.0,4,4,46,0.6781,1,1,abandonment_cooldown_3pct,0.92,0.1
298,297.0,4,5,46,0.6781,1,0,binomial_safety_bound;abandonment_cooldown_3pct,0.92,0.1
299,298.0,4,5,46,0.6781,1,0,binomial_safety_bound;abandonment_cooldown_3pct,0.92,0.1
300,299.0,4,5,46,0.6781,1,0,binomial_safety_bound;abandonment_cooldown_3pct,0.92,0.1
301,300.0,4,5,45,0.6781,1,0,binomial_safety_bound;abandonment_cooldown_3pct,0.9,0.1
302,301.0,2,2,47,0.5896,1,1,abandonment_cooldown_3pct,0.94,0.1
303,302.0,2,3,46,0.5896,1,0,binomial_safety_bound;abandonment_cooldown_3pct,0.92,0.1
304,303.0,2,1,46,0.2889,3,2,abandonment_cooldown_3pct,0.92,0.1
305,304.0,2,3,46,0.2889,3,1,binomial_safety_bound;abandonment_cooldown_3pct,0.92,0.1
306,305.0,3,4,46,0.2889,3,1,binomial_safety_bound;abandonment_cooldown_3pct,0.92,0.1
307,306.0,3,5,45,0.2889,3,0,binomial_safety_bound;abandonment_cooldown_3pct,0.9,0.1
308,307.0,3,4,46,0.5022,2,0,binomial_safety_bound;abandonment_cooldown_3pct,0.92,0.1
309,308.0,3,4,46,0.5022,2,0,binomial_safety_bound;abandonment_cooldown_3pct,0.92,0.1
310,309.0,3,4,46,0.5022,2,0,binomial_safety_bound;abandonment_cooldown_3pct,0.92,0.1
311,310.0,2,3,47,0.6516,1,0,binomial_safety_bound;abandonment_cooldown_3pct,0.94,0.1
312,311.0,2,2,48,0.7561,1,1,abandonment_cooldown_3pct,0.96,0.1
313,312.0,1,2,49,0.8293,0,0,abandonment_cooldown_3pct,0.98,0.1
314,313.0,0,1,49,0.8805,0,0,abandonment_cooldown_3pct,0.98,0.1
315,314.0,0,1,49,0.8805,0,0,abandonment_cooldown_3pct,0.98,0.1
316,315.0,0,1,48,0.8805,0,0,abandonment_cooldown_3pct,0.96,0.1
317,316.0,0,0,48,0.9163,0,0,abandonment_cooldown_3pct,0.96,0.11
318,317.0,0,0,47,0.9163,0,0,abandonment_cooldown_3pct,0.94,0.11
319,318.0,1,0,47,0.9163,0,0,abandonment_cooldown_3pct,0.94,0.11
320,319.0,1,0,45,0.9163,0,0,abandonment_cooldown_3pct,0.9,0.11
321,320.0,2,0,45,0.9163,0,0,abandonment_cooldown_3pct,0.9,0.11
322,321.0,2,0,45,0.9163,0,0,abandonment_cooldown_3pct,0.9,0.11
323,322.0,3,0,44,0.9163,1,1,abandonment_cooldown_3pct,0.88,0.11
324,323.0,3,1,44,0.9163,1,1,abandonment_cooldown_3pct,0.88,0.11
